Month,Total charged,Your total earnings,Processing fee,Patreon fee,Merch items and shipping,Declines,Your earnings - membership(%),Processing fees - membership(%),Patreon fee - membership(%),Currency conversion fee,Currency conversion fee (%),Currency
2021-04,25.00,20.31,1.94,2.75,0.00,0.00,81.24%,7.76%,11.0%,0.00,0.0%,USD
2021-05,125.00,103.98,7.27,13.75,0.00,0.00,83.18%,5.82%,11.0%,0.00,0.0%,USD
2021-06,217.14,180.77,12.20,23.89,0.00,0.00,83.25%,5.62%,11.0%,0.28,0.13%,USD
2021-07,266.89,217.18,15.62,28.81,0.00,5.00,82.93%,5.96%,11.0%,0.28,0.11%,USD
2021-08,371.82,304.99,21.16,40.36,0.00,5.00,83.14%,5.77%,11.0%,0.31,0.08%,USD
2021-09,411.71,341.83,24.28,45.29,0.00,0.00,83.03%,5.9%,11.0%,0.31,0.08%,USD
2021-10,486.62,396.83,27.06,52.43,0.00,10.00,83.26%,5.68%,11.0%,0.30,0.06%,USD
2021-11,517.83,425.07,30.55,56.42,0.00,5.00,82.89%,5.96%,11.0%,0.79,0.15%,USD
2021-12,1696.68,1426.69,66.89,186.12,11.20,5.00,84.34%,3.95%,11.0%,0.78,0.05%,USD
2022-01,497.58,382.10,28.79,50.90,0.00,35.00,82.6%,6.22%,11.0%,0.79,0.17%,USD
2022-02,472.40,363.13,28.67,49.23,5.60,25.00,81.16%,6.41%,11.0%,0.77,0.17%,USD
2022-03,608.21,461.74,34.78,66.92,44.00,0.00,75.92%,5.72%,11.0%,0.77,0.13%,USD
2022-04,507.62,419.40,31.59,55.85,0.00,0.00,82.62%,6.22%,11.0%,0.78,0.15%,USD
2022-05,949.81,775.92,46.46,104.51,22.00,0.00,81.69%,4.89%,11.0%,0.92,0.1%,USD
2022-06,672.34,489.36,37.48,72.88,62.00,10.00,73.88%,5.66%,11.0%,0.62,0.09%,USD
2022-07,718.29,595.02,39.17,78.50,0.00,5.00,83.42%,5.49%,11.01%,0.60,0.08%,USD
2022-08,551.57,456.73,33.55,60.69,0.00,0.00,82.81%,6.08%,11.0%,0.60,0.11%,USD
2022-09,545.89,413.54,32.08,58.84,31.00,10.00,77.17%,5.99%,10.98%,0.43,0.08%,USD
2022-10,958.41,755.87,45.28,102.69,29.00,25.00,80.98%,4.85%,11.0%,0.57,0.06%,USD
2022-11,621.55,494.84,34.25,67.24,14.50,10.43,80.97%,5.6%,11.0%,0.29,0.05%,USD
2022-12,687.34,569.35,36.47,75.62,5.60,0.00,82.83%,5.31%,11.0%,0.30,0.04%,USD
2023-01,1352.46,708.63,41.72,92.80,0.00,509.00,84.01%,4.95%,11.0%,0.31,0.04%,USD
2023-02,641.98,535.78,35.26,70.63,0.00,0.00,83.46%,5.49%,11.0%,0.31,0.05%,USD
2023-03,697.15,554.98,37.56,76.70,27.60,0.00,79.61%,5.39%,11.0%,0.31,0.04%,USD
2023-04,934.01,776.25,45.79,101.66,0.00,10.00,84.01%,4.96%,11.0%,0.31,0.03%,USD
2023-05,809.53,669.73,41.50,87.98,0.00,10.00,83.77%,5.19%,11.0%,0.32,0.04%,USD
2023-06,869.63,718.11,42.19,94.02,0.00,15.00,84.03%,4.94%,11.0%,0.31,0.04%,USD
2023-07,698.03,555.56,37.26,76.25,22.00,5.00,80.16%,5.38%,11.0%,1.96,0.28%,USD
2023-08,702.95,486.92,33.67,64.60,0.00,115.80,82.93%,5.73%,11.0%,1.96,0.33%,USD
2023-09,482.40,368.31,29.70,53.08,31.00,0.00,76.35%,6.16%,11.0%,0.31,0.06%,USD
2023-10,426.72,352.12,27.34,46.95,0.00,0.00,82.52%,6.41%,11.0%,0.31,0.07%,USD
2023-11,477.14,385.86,29.57,51.40,0.00,10.00,82.6%,6.33%,11.0%,0.31,0.07%,USD
2023-12,412.05,324.62,27.27,45.34,14.50,0.00,78.78%,6.62%,11.0%,0.32,0.08%,USD
2024-01,669.15,550.93,35.38,72.52,0.00,10.00,83.58%,5.37%,11.0%,0.32,0.05%,USD
2024-02,467.36,377.75,28.98,50.32,0.00,10.00,82.59%,6.34%,11.0%,0.31,0.07%,USD
2024-03,416.95,342.66,28.11,45.87,0.00,0.00,82.18%,6.74%,11.0%,0.31,0.07%,USD
2024-04,527.72,428.55,31.89,56.97,0.00,10.00,82.78%,6.16%,11.0%,0.31,0.06%,USD
2024-05,517.63,342.48,28.18,45.86,0.00,100.80,82.16%,6.76%,11.0%,0.31,0.07%,USD
2024-06,996.33,836.45,48.49,109.62,0.00,0.00,83.95%,4.87%,11.0%,1.77,0.18%,USD
2024-07,1286.94,1072.82,65.74,141.09,0.00,5.00,83.69%,5.13%,11.01%,2.29,0.18%,USD
2024-08,637.59,512.64,40.83,68.51,0.00,15.00,82.34%,6.56%,11.0%,0.61,0.1%,USD
2024-09,577.67,469.95,39.08,63.02,0.00,5.00,82.06%,6.82%,11.0%,0.62,0.11%,USD
2024-10,912.05,757.17,53.40,100.39,0.00,0.00,83.02%,5.85%,11.01%,1.09,0.12%,USD
2024-11,231.84,185.27,15.97,24.98,0.00,5.00,81.67%,7.04%,11.01%,0.62,0.27%,USD
